slide,ground_truth,prediction,prob_class_0,prob_class_1
1,1,0,0.7176042,0.28239575
1,1,0,0.8374026,0.1625974
00006327,1,0,0.67836356,0.3216364
00006328,1,0,0.58606833,0.41393164
00006329,1,0,0.6948646,0.30513546
00006330,1,0,0.8868497,0.1131503
00006331,1,0,0.51049423,0.48950574
00006332,1,1,0.49532786,0.5046721
00006333,1,0,0.9513491,0.048650827
00006334,1,0,0.94957286,0.050427105
00006335,1,0,0.74793816,0.2520618
00006336,1,0,0.7730624,0.22693755
00006337,1,0,0.90419406,0.095805936
00006338,1,0,0.84523445,0.15476553
00006339,1,0,0.8902617,0.10973825
00006340,1,0,0.7529488,0.24705122
00006315,1,0,0.97201234,0.027987616
00006316,1,0,0.9333783,0.066621676
00006317,1,0,0.960309,0.039690968
00006318,1,0,0.9613554,0.038644634
00006341,1,0,0.95147413,0.04852587
00006342,1,0,0.9512208,0.04877921
00006343,1,0,0.9501691,0.049830854
00006344,1,0,0.8086768,0.19132318
00006345,1,0,0.69457555,0.30542445
00006404,1,0,0.6698839,0.33011612
00006405,1,0,0.72463846,0.27536157
00006406,1,0,0.7637241,0.23627593
00006346,1,0,0.92867285,0.07132711
00006347,1,0,0.93025464,0.069745354
00006319,1,0,0.9295447,0.070455335
00006320,1,0,0.9029193,0.09708068
00006321,1,0,0.9145293,0.08547068
00006348,1,0,0.8025098,0.19749022
00006349,1,0,0.89286953,0.107130386
00006350,1,0,0.82766914,0.1723309
00006351,1,0,0.8673299,0.13267015
00006352,1,0,0.8734198,0.12658018
00006353,1,0,0.84689957,0.15310042
00006354,1,0,0.74103314,0.25896683
00006355,1,0,0.7638977,0.23610228
00006356,1,0,0.78698844,0.21301155
00006357,1,0,0.758533,0.24146704
00006358,1,0,0.7640693,0.23593067
00006322,1,0,0.79754996,0.20245005
00006323,1,0,0.8009221,0.19907795
00006324,1,0,0.8618579,0.1381421
00006325,1,0,0.934367,0.06563295
00006326,1,0,0.9312227,0.068777315
1,1,0,0.9364695,0.06353048
1,1,0,0.956664,0.043335974
1.70258E+12,1,0,0.9952895,0.0047105458
1.70258E+12,1,0,0.99393016,0.0060697887
1.70258E+12,1,0,0.988997,0.011003061
1.70258E+12,1,0,0.96830946,0.031690497
1.70258E+12,1,0,0.982383,0.01761702
1.70258E+12,1,0,0.9911048,0.008895295
1.70258E+12,1,0,0.9850421,0.014957913
1.70258E+12,1,0,0.9911464,0.0088535985
1.70258E+12,1,0,0.99332136,0.0066786944
1.70258E+12,1,0,0.989089,0.010910991
