slide,ground_truth,prediction,prob_class_0,prob_class_1
1,0,0,0.26577726,0.00018983128
1,0,0,0.5737765,0.0006681802
00006327,0,0,0.28508744,0.017648848
00006328,0,0,0.15431456,0.044384364
00006329,0,0,0.32716152,0.024366135
00006330,0,0,0.69683754,0.0013711597
00006331,0,1,0.0009775645,0.023784652
00006332,0,1,0.004704513,0.038756967
00006333,0,0,0.85533905,2.5332288e-06
00006334,0,0,0.84987783,2.182995e-06
00006335,0,0,0.37773603,0.003439537
00006336,0,0,0.42254892,0.0021204061
00006337,0,0,0.7361045,0.00046394314
00006338,0,0,0.6029754,0.0035321629
00006339,0,0,0.70268977,0.0009883422
00006340,0,0,0.408601,0.01079305
00006315,0,0,0.9165411,1.1934888e-07
00006316,0,0,0.8082143,3.1350583e-06
00006317,0,0,0.88148814,1.8464321e-07
00006318,0,0,0.8849437,5.682263e-07
00006341,0,0,0.8588724,3.932335e-05
00006342,0,0,0.85824436,4.1889234e-05
00006343,0,0,0.85424215,2.5367657e-05
00006344,0,0,0.5191958,0.0050719925
00006345,0,0,0.3329584,0.027457856
00006404,0,0,0.2387389,0.018018011
00006405,0,0,0.30661434,0.0059908577
00006406,0,0,0.3663457,0.002025201
00006346,0,0,0.7988299,0.00024002974
00006347,0,0,0.8022579,0.00019672092
00006319,0,0,0.7913416,1.6362208e-06
00006320,0,0,0.7165449,8.379602e-06
00006321,0,0,0.7475467,6.532092e-06
00006348,0,0,0.5085472,0.0061325994
00006349,0,0,0.68922144,6.538924e-05
00006350,0,0,0.5073624,0.00015027191
00006351,0,0,0.62098587,0.00016865543
00006352,0,0,0.64523506,0.0002714889
00006353,0,0,0.582543,0.00021793546
00006354,0,0,0.3951319,0.012802376
00006355,0,0,0.44086865,0.011878415
00006356,0,0,0.45061162,0.00014106589
00006357,0,0,0.40700155,0.00022391448
00006358,0,0,0.4158691,0.00026805143
00006322,0,0,0.45587248,0.0008017401
00006323,0,0,0.45439953,0.0007318202
00006324,0,0,0.5955593,6.195773e-05
00006325,0,0,0.8066021,1.553802e-05
00006326,0,0,0.7984747,3.0200625e-05
1,0,0,0.8182237,5.364829e-05
1,0,0,0.87367195,2.7129936e-05
1.70258E+12,0,0,0.9858879,3.5729562e-09
1.70258E+12,0,0,0.98188245,1.4167767e-07
1.70258E+12,0,0,0.96732646,1.0908502e-06
1.70258E+12,0,0,0.90657794,2.6662906e-06
1.70258E+12,0,0,0.9472725,2.8149742e-08
1.70258E+12,0,0,0.9734042,4.3385885e-08
1.70258E+12,0,0,0.9552237,9.330134e-09
1.70258E+12,0,0,0.97357726,1.7761332e-07
1.70258E+12,0,0,0.9800724,1.778094e-07
